Insurer_name,Insure_type,Year_,Policy_type,No_of_policies,No_of_persons_covered,Gross_premium
Bajaj Allianz General Insurance Co. Ltd.,Private,2016-17,Government Sponsored Schemes including RSBY,2,7164297,561053681.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,3370,1224251,5058859407.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2016-17,Individual Family Floater  ,184328,554011,1800245057.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2016-17,Individual Other than Family Floater,285646,526143,2361940368.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,3,8132361,525990712.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,4497,2255330,7437118040.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,242303,660030,2459894019.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,269375,466987,2385527303.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,42,19424802,3688965246.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,15146,3422108,11827930997.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,397068,914399,5106519766.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2018-19,Individual Other than Family Floater,118790,923619,1426216079.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,76,27682361,2997134862.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,10456,3652539,11181104735.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2019-20,Individual Family Floater  ,440054,1141514,5852694306.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2019-20,Individual Other than Family Floater,126929,458316,1354379823.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,2,12010698,983423482.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,158416,3754268,10657233717.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2020-21,Individual Family Floater  ,375443,1431657,5732990250.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2020-21,Individual Other than Family Floater,310706,988678,2983922480.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,3,18163646,8445375921.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,87937,4890628,14268785268.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2021-22,Individual Family Floater  ,329463,867920,4837264103.00
Bajaj Allianz General Insurance Co. Ltd.,Private,2021-22,Individual Other than Family Floater,250426,651224,3534135208.00
Bharti AXA General Insurance Co. Ltd.,Private,2013-14,Family/Floater Insurance excluding Individual Policies,17995,27797,91471450.24
Bharti AXA General Insurance Co. Ltd.,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,2641,652989,1849101956.45
Bharti AXA General Insurance Co. Ltd.,Private,2014-15,Family/Floater Insurance excluding Individual Policies,18152,33713,82082296.09
Bharti AXA General Insurance Co. Ltd.,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,2107,1123855,1530068357.63
Bharti AXA General Insurance Co. Ltd.,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,1474,282000,739400000.00
Bharti AXA General Insurance Co. Ltd.,Private,2015-16,Individual Other than Family Floater,19528,36000,92400000.00
Bharti AXA General Insurance Co. Ltd.,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,1211,285649,580085324.25
Bharti AXA General Insurance Co. Ltd.,Private,2016-17,Individual Family Floater  ,7370,24193,50051752.58
Bharti AXA General Insurance Co. Ltd.,Private,2016-17,Individual Other than Family Floater,13111,13111,41611537.26
Bharti AXA General Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Bharti AXA General Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1919,350000,858154170.47
Bharti AXA General Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,9496,24135,56635995.53
Bharti AXA General Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,9438,10967,31800341.39
Bharti AXA General Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Bharti AXA General Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,4675,1708119,2162281010.55
Bharti AXA General Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,17154,31804,127012502.64
Bharti AXA General Insurance Co. Ltd.,Private,2018-19,Individual Other than Family Floater,0,0,0.00
Bharti AXA General Insurance Co. Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Bharti AXA General Insurance Co. Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,5961,2455547,2485854008.92
Bharti AXA General Insurance Co. Ltd.,Private,2019-20,Individual Family Floater  ,17464,35557,183519156.74
Bharti AXA General Insurance Co. Ltd.,Private,2019-20,Individual Other than Family Floater,0,0,0.00
Bharti AXA General Insurance Co. Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Bharti AXA General Insurance Co. Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,9973,3029156,3722185280.85
Bharti AXA General Insurance Co. Ltd.,Private,2020-21,Individual Family Floater  ,19518,38988,212550641.80
Bharti AXA General Insurance Co. Ltd.,Private,2020-21,Individual Other than Family Floater,143,155,2503630.89
Care Health Insurance Ltd.,Standalone,2013-14,Family/Floater Insurance excluding Individual Policies,35936,114861,390854217.09
Care Health Insurance Ltd.,Standalone,2013-14,Government Sponsored Schemes including RSBY,8,1724523,44534088.00
Care Health Insurance Ltd.,Standalone,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,579,580887,790145204.54
Care Health Insurance Ltd.,Standalone,2013-14,Individual Insurance excluding Family /Floater Policies,31720,42979,274841295.45
Care Health Insurance Ltd.,Standalone,2014-15,Family/Floater Insurance excluding Individual Policies,65751,208519,788408957.93
Care Health Insurance Ltd.,Standalone,2014-15,Government Sponsored Schemes including RSBY,8,1869304,81106163.96
Care Health Insurance Ltd.,Standalone,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,1260,383857,991166910.73
Care Health Insurance Ltd.,Standalone,2014-15,Individual Insurance excluding Family/ Floater Policies,61742,70885,722543762.04
Care Health Insurance Ltd.,Standalone,2015-16,Government Sponsored Schemes including RSBY,0,86000,2600000.00
Care Health Insurance Ltd.,Standalone,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,1728,635000,1676000000.00
Care Health Insurance Ltd.,Standalone,2015-16,Individual Family Floater  ,114297,360000,1494400000.00
Care Health Insurance Ltd.,Standalone,2015-16,Individual Other than Family Floater,106582,116000,1279000000.00
Care Health Insurance Ltd.,Standalone,2016-17,Government Sponsored Schemes including RSBY,0,0,101789907.00
Care Health Insurance Ltd.,Standalone,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,1991,677950,1984265584.77
Care Health Insurance Ltd.,Standalone,2016-17,Individual Family Floater  ,174628,545994,2567587516.60
Care Health Insurance Ltd.,Standalone,2016-17,Individual Other than Family Floater,143697,159813,1716149012.65
Care Health Insurance Ltd.,Standalone,2017-18,Government Sponsored Schemes including RSBY,0,0,50894953.50
Care Health Insurance Ltd.,Standalone,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,2476,1633189,3101558914.38
Care Health Insurance Ltd.,Standalone,2017-18,Individual Family Floater  ,251091,781236,3889449571.31
Care Health Insurance Ltd.,Standalone,2017-18,Individual Other than Family Floater,183988,203440,2275606717.26
Care Health Insurance Ltd.,Standalone,2018-19,Government Sponsored Schemes including RSBY & PMJAY,1,6100000,2567000000.00
Care Health Insurance Ltd.,Standalone,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,3739,3118171,4855215134.37
Care Health Insurance Ltd.,Standalone,2018-19,Individual Family Floater  ,370253,1145282,5597529142.38
Care Health Insurance Ltd.,Standalone,2018-19,Individual Other than Family Floater,317746,349381,3092493676.58
Care Health Insurance Ltd.,Standalone,2019-20,Government Sponsored Schemes including RSBY,1,6100000,4130157067.65
Care Health Insurance Ltd.,Standalone,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,4744,4900122,5951512683.01
Care Health Insurance Ltd.,Standalone,2019-20,Individual Family Floater  ,456781,1426018,7317434705.29
Care Health Insurance Ltd.,Standalone,2019-20,Individual Other than Family Floater,346134,392025,4113387004.94
Care Health Insurance Ltd.,Standalone,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Care Health Insurance Ltd.,Standalone,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,8640,4794632,6910558593.87
Care Health Insurance Ltd.,Standalone,2020-21,Individual Family Floater  ,622671,1935185,9984837069.52
Care Health Insurance Ltd.,Standalone,2020-21,Individual Other than Family Floater,547069,612390,6204844075.88
Care Health Insurance Ltd.,Standalone,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,10144,10445474,12551002354.67
Care Health Insurance Ltd.,Standalone,2021-22,Individual Family Floater  ,760193,2340499,13279164803.03
Care Health Insurance Ltd.,Standalone,2021-22,Individual Other than Family Floater,649092,723385,8424833893.78
Cholamandalam MS General Insurance Co. Ltd.,Private,2013-14,Family/Floater Insurance excluding Individual Policies,46870,119301,179930757.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2013-14,Government Sponsored Schemes including RSBY,3,1561720,858619203.93
Cholamandalam MS General Insurance Co. Ltd.,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,5483,664775,768100356.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2013-14,Individual Insurance excluding Family /Floater Policies,39692,56324,133738580.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2014-15,Family/Floater Insurance excluding Individual Policies,52811,146992,227909933.76
Cholamandalam MS General Insurance Co. Ltd.,Private,2014-15,Government Sponsored Schemes including RSBY,9,1873639,317963590.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,8666,1011809,1053363030.10
Cholamandalam MS General Insurance Co. Ltd.,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,29937,46158,129359161.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2015-16,Government Sponsored Schemes including RSBY,9,1874000,114100000.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,11332,1447000,1551900000.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2015-16,Individual Family Floater  ,40043,136000,209900000.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2015-16,Individual Other than Family Floater,26723,37000,147700000.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,16442,1378436,1663515577.30
Cholamandalam MS General Insurance Co. Ltd.,Private,2016-17,Individual Family Floater  ,39602,124289,217581743.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2016-17,Individual Other than Family Floater,19145,28743,129021148.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,34795,1700808,2262182614.30
Cholamandalam MS General Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,40114,128584,218443382.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,16644,25490,119525875.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,50887,1662354,2412326630.40
Cholamandalam MS General Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,37531,120753,211523710.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2018-19,Individual Other than Family Floater,14814,22546,113231465.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,-56039850.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,76152,1978976,2861353041.67
Cholamandalam MS General Insurance Co. Ltd.,Private,2019-20,Individual Family Floater  ,28816,87339,208044664.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2019-20,Individual Other than Family Floater,19268,45596,156509171.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,-143270269.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,86329,4270624,3487597160.39
Cholamandalam MS General Insurance Co. Ltd.,Private,2020-21,Individual Family Floater  ,53760,157581,444058795.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2020-21,Individual Other than Family Floater,110568,138140,355272974.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,-38925000.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,256293,3155629,3348242589.62
Cholamandalam MS General Insurance Co. Ltd.,Private,2021-22,Individual Family Floater  ,67598,212063,686727699.00
Cholamandalam MS General Insurance Co. Ltd.,Private,2021-22,Individual Other than Family Floater,48106,52028,298552465.60
Edelweiss General Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Edelweiss General Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,352,350,11788824.26
Edelweiss General Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,0,0,0.00
Edelweiss General Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,0,0,0.00
Edelweiss General Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Edelweiss General Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,9021,8639,272370115.08
Edelweiss General Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,552,1471,7129332.33
Edelweiss General Insurance Co. Ltd.,Private,2018-19,Individual Other than Family Floater,876,813,5533635.85
Edelweiss General Insurance Co. Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Edelweiss General Insurance Co. Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,106,111295,390236608.78
Edelweiss General Insurance Co. Ltd.,Private,2019-20,Individual Family Floater  ,2717,7731,32274570.91
Edelweiss General Insurance Co. Ltd.,Private,2019-20,Individual Other than Family Floater,4602,4308,28119998.09
Edelweiss General Insurance Co. Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Edelweiss General Insurance Co. Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,365,310909,514624895.27
Edelweiss General Insurance Co. Ltd.,Private,2020-21,Individual Family Floater  ,10140,28468,80042094.59
Edelweiss General Insurance Co. Ltd.,Private,2020-21,Individual Other than Family Floater,35074,38382,90239989.49
Edelweiss General Insurance Co. Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Edelweiss General Insurance Co. Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,700,279638,907309138.77
Edelweiss General Insurance Co. Ltd.,Private,2021-22,Individual Family Floater  ,6696,19117,43842812.93
Edelweiss General Insurance Co. Ltd.,Private,2021-22,Individual Other than Family Floater,11090,11274,42763856.29
Future Generali India Insurance Co. Ltd.,Private,2013-14,Family/Floater Insurance excluding Individual Policies,11906,39698,80419139.00
Future Generali India Insurance Co. Ltd.,Private,2013-14,Government Sponsored Schemes including RSBY,1,81046,942955.00
Future Generali India Insurance Co. Ltd.,Private,2013-14,Group Insurance Schemes excluding Govt. Sponsered Schemes,746,375822,1062815133.00
Future Generali India Insurance Co. Ltd.,Private,2013-14,Individual Insurance excluding Family /Floater Policies,13577,21711,67873197.00
Future Generali India Insurance Co. Ltd.,Private,2014-15,Family/Floater Insurance excluding Individual Policies,14829,48754,104052484.70
Future Generali India Insurance Co. Ltd.,Private,2014-15,Government Sponsored Schemes including RSBY,8,1373243,97875555.00
Future Generali India Insurance Co. Ltd.,Private,2014-15,Group Insurance Schemes excluding Govt. Sponsored Schemes,925,307164,1048671333.66
Future Generali India Insurance Co. Ltd.,Private,2014-15,Individual Insurance excluding Family/ Floater Policies,13604,22821,81038385.73
Future Generali India Insurance Co. Ltd.,Private,2015-16,Government Sponsored Schemes including RSBY,,3976000,59400000.00
Future Generali India Insurance Co. Ltd.,Private,2015-16,Group Insurance Schemes excluding Govt. Sponsered Schemes,868,297000,1123100000.00
Future Generali India Insurance Co. Ltd.,Private,2015-16,Individual Family Floater  ,16105,65000,138900000.00
Future Generali India Insurance Co. Ltd.,Private,2015-16,Individual Other than Family Floater,14028,27000,95400000.00
Future Generali India Insurance Co. Ltd.,Private,2016-17,Government Sponsored Schemes including RSBY,7,4759252,170400703.00
Future Generali India Insurance Co. Ltd.,Private,2016-17,Group Insurance Schemes excluding Govt. Sponsered Schemes,2737,664408,1409145119.00
Future Generali India Insurance Co. Ltd.,Private,2016-17,Individual Family Floater  ,20001,67785,196451200.00
Future Generali India Insurance Co. Ltd.,Private,2016-17,Individual Other than Family Floater,18565,77528,150033100.00
Future Generali India Insurance Co. Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,7,5426150,58034214.00
Future Generali India Insurance Co. Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,959,754055,1843414655.03
Future Generali India Insurance Co. Ltd.,Private,2017-18,Individual Family Floater  ,22269,64120,208549366.56
Future Generali India Insurance Co. Ltd.,Private,2017-18,Individual Other than Family Floater,24878,39808,215660659.37
Future Generali India Insurance Co. Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,6,3849458,45408833.00
Future Generali India Insurance Co. Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,805,843439,2208325194.99
Future Generali India Insurance Co. Ltd.,Private,2018-19,Individual Family Floater  ,33829,102302,387354075.63
Future Generali India Insurance Co. Ltd.,Private,2018-19,Individual Other than Family Floater,30030,43251,169835314.22
Future Generali India Insurance Co. Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,363412.90
Future Generali India Insurance Co. Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,927,1754723,2965425807.50
Future Generali India Insurance Co. Ltd.,Private,2019-20,Individual Family Floater  ,46937,148727,595023115.14
Future Generali India Insurance Co. Ltd.,Private,2019-20,Individual Other than Family Floater,33208,39723,258786601.74
Future Generali India Insurance Co. Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
Future Generali India Insurance Co. Ltd.,Private,2020-21,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,2321,1988930,2881952414.61
Future Generali India Insurance Co. Ltd.,Private,2020-21,Individual Family Floater  ,67796,230022,864207582.79
Future Generali India Insurance Co. Ltd.,Private,2020-21,Individual Other than Family Floater,254121,370547,735496083.53
Future Generali India Insurance Co. Ltd.,Private,2021-22,Government Sponsored Schemes including RSBY,0,0,0.00
Future Generali India Insurance Co. Ltd.,Private,2021-22,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,1765,1612776,4292358904.22
Future Generali India Insurance Co. Ltd.,Private,2021-22,Individual Family Floater  ,74076,251258,1032720405.64
Future Generali India Insurance Co. Ltd.,Private,2021-22,Individual Other than Family Floater,43249,55225,413027351.93
Go Digit General Insurance Ltd.,Private,2017-18,Government Sponsored Schemes including RSBY,0,0,0.00
Go Digit General Insurance Ltd.,Private,2017-18,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,0,0,0.00
Go Digit General Insurance Ltd.,Private,2017-18,Individual Family Floater  ,0,0,0.00
Go Digit General Insurance Ltd.,Private,2017-18,Individual Other than Family Floater,0,0,0.00
Go Digit General Insurance Ltd.,Private,2018-19,Government Sponsored Schemes including RSBY & PMJAY,0,0,0.00
Go Digit General Insurance Ltd.,Private,2018-19,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,865,865,7395714.00
Go Digit General Insurance Ltd.,Private,2018-19,Individual Family Floater  ,0,0,0.00
Go Digit General Insurance Ltd.,Private,2018-19,Individual Other than Family Floater,0,0,0.00
Go Digit General Insurance Ltd.,Private,2019-20,Government Sponsored Schemes including RSBY,0,0,0.00
Go Digit General Insurance Ltd.,Private,2019-20,Group Insurance Schemes excluding Govt Sponsored Schemes & RSBY,271,32326,143898387.00
Go Digit General Insurance Ltd.,Private,2019-20,Individual Family Floater  ,1396,4238,17598156.00
Go Digit General Insurance Ltd.,Private,2019-20,Individual Other than Family Floater,4610,6054,13713450.00
Go Digit General Insurance Ltd.,Private,2020-21,Government Sponsored Schemes including RSBY,0,0,0.00
